timestamp,cluster_id,node_id,replication_lag_ms,transactions_processed,sync_failure_count,bandwidth_consumed_mbps
2026-06-13 00:00:00,CLS-CORE-BANK,DB-NY-PRI,0.0,2360,0,94.98
2026-06-13 00:00:00,CLS-CORE-BANK,DB-LDN-REP,15.84,2738,0,53.37
2026-06-13 00:00:00,CLS-CORE-BANK,DB-MUM-REP,14.56,2832,0,61.24
2026-06-13 00:00:00,CLS-CORE-BANK,DB-TKY-REP,65.88,1776,0,45.45
2026-06-13 00:00:00,CLS-EQ-TRADE,DB-NY-PRI,0.0,2837,0,104.7
2026-06-13 00:00:00,CLS-EQ-TRADE,DB-LDN-REP,20.48,2999,0,58.36
2026-06-13 00:00:00,CLS-EQ-TRADE,DB-MUM-REP,61.93,2767,0,58.55
2026-06-13 00:00:00,CLS-EQ-TRADE,DB-TKY-REP,18.93,1666,0,45.12
2026-06-13 00:00:00,CLS-FX-MATH,DB-NY-PRI,0.0,388,0,80.53
2026-06-13 00:00:00,CLS-FX-MATH,DB-LDN-REP,63.64,639,0,42.93
2026-06-13 00:00:00,CLS-FX-MATH,DB-MUM-REP,15.97,334,0,65.0
2026-06-13 00:00:00,CLS-FX-MATH,DB-TKY-REP,43.59,689,0,49.35
2026-06-13 00:00:00,CLS-CUST-MD,DB-NY-PRI,0.0,559,0,88.32
2026-06-13 00:00:00,CLS-CUST-MD,DB-LDN-REP,17.76,745,0,68.18
2026-06-13 00:00:00,CLS-CUST-MD,DB-MUM-REP,51.46,551,0,57.11
2026-06-13 00:00:00,CLS-CUST-MD,DB-TKY-REP,8.95,352,0,48.14
2026-06-13 00:05:00,CLS-CORE-BANK,DB-NY-PRI,0.0,1716,0,103.47
2026-06-13 00:05:00,CLS-CORE-BANK,DB-LDN-REP,15.37,1564,0,64.07
2026-06-13 00:05:00,CLS-CORE-BANK,DB-MUM-REP,9.47,2586,0,48.8
2026-06-13 00:05:00,CLS-CORE-BANK,DB-TKY-REP,37.42,1730,0,63.14
2026-06-13 00:05:00,CLS-EQ-TRADE,DB-NY-PRI,0.0,2551,0,106.04
2026-06-13 00:05:00,CLS-EQ-TRADE,DB-LDN-REP,41.06,1906,0,41.91
2026-06-13 00:05:00,CLS-EQ-TRADE,DB-MUM-REP,28.24,2460,0,48.24
2026-06-13 00:05:00,CLS-EQ-TRADE,DB-TKY-REP,21.96,2002,0,61.65
2026-06-13 00:05:00,CLS-FX-MATH,DB-NY-PRI,0.0,658,0,110.84
2026-06-13 00:05:00,CLS-FX-MATH,DB-LDN-REP,12.73,478,0,53.18
2026-06-13 00:05:00,CLS-FX-MATH,DB-MUM-REP,11.84,521,0,55.26
2026-06-13 00:05:00,CLS-FX-MATH,DB-TKY-REP,13.29,312,0,46.09
2026-06-13 00:05:00,CLS-CUST-MD,DB-NY-PRI,0.0,486,0,83.08
2026-06-13 00:05:00,CLS-CUST-MD,DB-LDN-REP,31.61,433,0,48.87
2026-06-13 00:05:00,CLS-CUST-MD,DB-MUM-REP,16.33,427,0,66.5
2026-06-13 00:05:00,CLS-CUST-MD,DB-TKY-REP,38.67,676,0,43.3
2026-06-13 00:10:00,CLS-CORE-BANK,DB-NY-PRI,0.0,2132,0,105.91
2026-06-13 00:10:00,CLS-CORE-BANK,DB-LDN-REP,39.16,2148,0,55.32
2026-06-13 00:10:00,CLS-CORE-BANK,DB-MUM-REP,21.87,2897,0,47.32
2026-06-13 00:10:00,CLS-CORE-BANK,DB-TKY-REP,14.28,1941,0,41.95
2026-06-13 00:10:00,CLS-EQ-TRADE,DB-NY-PRI,0.0,2909,0,118.5
2026-06-13 00:10:00,CLS-EQ-TRADE,DB-LDN-REP,25.17,1501,1,48.0
2026-06-13 00:10:00,CLS-EQ-TRADE,DB-MUM-REP,15.99,2926,0,67.25
2026-06-13 00:10:00,CLS-EQ-TRADE,DB-TKY-REP,27.43,1746,0,56.59
2026-06-13 00:10:00,CLS-FX-MATH,DB-NY-PRI,0.0,502,0,106.89
2026-06-13 00:10:00,CLS-FX-MATH,DB-LDN-REP,14.34,397,0,54.11
2026-06-13 00:10:00,CLS-FX-MATH,DB-MUM-REP,25.42,423,0,65.06
2026-06-13 00:10:00,CLS-FX-MATH,DB-TKY-REP,22.6,719,0,49.78
2026-06-13 00:10:00,CLS-CUST-MD,DB-NY-PRI,0.0,750,0,80.66
2026-06-13 00:10:00,CLS-CUST-MD,DB-LDN-REP,33.36,723,0,68.22
2026-06-13 00:10:00,CLS-CUST-MD,DB-MUM-REP,21.7,772,0,50.23
